"SYMBOL 
","PREV. CLOSE 
","IEP  PRICE 
","CHNG 
","%CHNG 
","FINAL PRICE 
","FINAL QUANTITY 
","VALUE ","FFM CAP ","NM 52W H 
","NM 52W L 
"
"HDFCBANK","838.85","857.00","18.15","2.16","857.00",61728,"52,900,896.00","3,632,788,191,871.72","1,305.50","738.75"
"ITC","186.35","190.00","3.65","1.96","190.00",167582,"31,840,580.00","1,626,366,677,282.16","305.60","134.60"
"INDUSINDBK","338.35","344.90","6.55","1.94","344.90",27296,"9,414,390.40","204,150,994,358.85","1,672.95","235.55"
"ICICIBANK","291.05","296.05","5.00","1.72","296.05",76844,"22,749,666.20","1,883,786,487,721.60","552.20","268.30"
"UPL","371.15","376.95","5.80","1.56","376.95",93413,"35,212,030.35","204,174,339,115.97","709.05","240.15"
"AXISBANK","336.95","342.00","5.05","1.50","342.00",43908,"15,016,536.00","760,402,778,189.84","827.75","286.00"
"IOC","75.50","76.60","1.10","1.46","76.60",62648,"4,798,836.80","191,907,629,624.97","170.75","71.15"
"TATAMOTORS","82.80","83.90","1.10","1.33","83.90",57253,"4,803,526.70","148,344,882,285.46","201.70","63.50"
"EICHERMOT","13,922.40","14,105.00","182.60","1.31","14,105.00",664,"9,365,720.00","193,874,024,137.68","23,450.00","12,450.10"
"MARUTI","5,134.30","5,200.00","65.70","1.28","5,200.00",3255,"16,926,000.00","682,426,646,905.52","7,758.70","4,001.10"
"BAJFINANCE","1,895.30","1,918.00","22.70","1.20","1,918.00",11823,"22,676,514.00","501,767,768,689.31","4,923.40","1,865.25"
"RELIANCE","1,431.55","1,448.15","16.60","1.16","1,448.15",64809,"93,853,153.35","4,628,238,161,007.39","1,601.53","866.98"
"ONGC","76.15","77.00","0.85","1.12","77.00",27699,"2,132,823.00","277,816,595,845.70","178.90","50.00"
"JSWSTEEL","166.15","168.00","1.85","1.11","168.00",56755,"9,534,840.00","168,680,893,964.52","297.50","132.50"
"TATASTEEL","274.45","277.50","3.05","1.11","277.50",15292,"4,243,530.00","207,140,582,304.12","518.60","250.85"
"BRITANNIA","3,167.10","3,200.00","32.90","1.04","3,200.00",1801,"5,763,200.00","373,177,698,728.18","3,583.75","2,100.00"
"BAJAJFINSV","4,315.55","4,360.00","44.45","1.03","4,360.00",1139,"4,966,040.00","260,970,674,106.61","9,950.00","4,087.00"
"BAJAJ-AUTO","2,553.75","2,580.00","26.25","1.03","2,580.00",1018,"2,626,440.00","332,536,962,296.25","3,315.15","1,788.65"
"SBIN","150.85","152.40","1.55","1.03","152.40",149368,"22,763,683.20","578,899,389,458.68","373.80","149.45"
"NESTLEIND","16,215.15","16,380.00","164.85","1.02","16,380.00",192,"3,144,960.00","578,456,260,000.04","18,369.95","10,592.30"
"HINDUNILVR","1,987.90","2,004.95","17.05","0.86","2,004.95",15173,"30,421,106.35","1,420,137,769,763.43","2,614.30","1,659.05"
"LT","815.70","821.90","6.20","0.76","821.90",7287,"5,989,185.30","1,007,629,225,485.70","1,607.00","661.00"
"TITAN","849.65","856.00","6.35","0.75","856.00",1878,"1,607,568.00","354,524,530,096.68","1,389.95","720.90"
"ULTRACEMCO","3,638.95","3,665.00","26.05","0.72","3,665.00",1833,"6,717,945.00","420,114,553,373.76","4,904.95","2,910.00"
"TECHM","529.65","533.00","3.35","0.63","533.00",6112,"3,257,696.00","327,366,506,567.23","845.90","471.40"
"ADANIPORTS","310.60","312.40","1.80","0.58","312.40",1426,"445,482.40","239,803,596,847.31","430.60","203.00"
"HINDALCO","124.85","125.55","0.70","0.56","125.55",10733,"1,347,528.15","182,273,609,753.95","221.20","84.90"
"COALINDIA","125.20","125.85","0.65","0.52","125.85",5399,"679,464.15","262,335,019,423.74","271.45","119.20"
"GRASIM","532.35","535.00","2.65","0.50","535.00",876,"468,660.00","210,107,558,786.58","959.80","385.05"
"ZEEL","163.25","164.00","0.75","0.46","164.00",39949,"6,551,636.00","148,958,943,708.06","405.20","114.00"
"VEDL","89.10","89.50","0.40","0.45","89.50",30929,"2,768,145.50","162,289,088,062.10","180.00","60.20"
"ASIANPAINT","1,617.90","1,625.00","7.10","0.44","1,625.00",8545,"13,885,625.00","729,386,469,087.27","1,916.70","1,291.25"
"HEROMOTOCO","2,150.60","2,158.00","7.40","0.34","2,158.00",1311,"2,829,138.00","279,213,665,133.52","3,022.90","1,475.00"
"SUNPHARMA","469.40","471.00","1.60","0.34","471.00",12928,"6,089,088.00","506,811,525,713.10","504.80","312.00"
"INFRATEL","207.50","207.90","0.40","0.19","207.90",18881,"3,925,359.90","176,545,107,080.70","296.50","120.05"
"POWERGRID","155.85","156.15","0.30","0.19","156.15",8575,"1,338,986.25","399,518,190,853.99","216.25","122.15"
"DRREDDY","3,892.85","3,899.00","6.15","0.16","3,899.00",1665,"6,491,835.00","472,199,193,805.01","4,132.20","2,351.20"
"M&M","426.35","427.00","0.65","0.15","427.00",8206,"3,503,962.00","408,127,058,673.49","683.00","245.40"
"CIPLA","639.35","640.00","0.65","0.10","640.00",28609,"18,309,760.00","324,743,931,285.57","641.85","355.30"
"INFY","692.35","693.00","0.65","0.09","693.00",16404,"11,367,972.00","2,535,829,825,783.98","847.00","509.25"
"GAIL","87.20","87.20","-","-","87.20",14559,"1,269,544.80","161,246,591,993.23","182.70","65.00"
"WIPRO","189.00","189.00","-","-","189.00",13534,"2,557,926.00","280,749,192,960.60","301.60","159.40"
"HDFC","1,516.15","1,516.00","-0.15","-0.01","1,516.00",46432,"70,390,912.00","2,621,368,445,660.05","2,499.90","1,473.45"
"KOTAKBANK","1,160.20","1,160.00","-0.20","-0.02","1,160.00",10580,"12,272,800.00","1,553,190,528,691.48","1,740.00","1,001.00"
"BPCL","315.20","315.00","-0.20","-0.06","315.00",10013,"3,154,095.00","252,986,932,016.26","549.00","252.00"
"HCLTECH","530.40","530.00","-0.40","-0.08","530.00",4183,"2,216,990.00","575,731,186,767.36","623.50","375.25"
"TCS","2,020.35","2,015.00","-5.35","-0.26","2,015.00",16657,"33,563,855.00","2,122,716,523,414.79","2,296.20","1,506.05"
"SHREECEM","19,910.25","19,810.10","-100.15","-0.50","19,810.10",101,"2,000,820.10","265,799,383,760.79","25,355.00","15,410.00"
"NTPC","90.95","90.15","-0.80","-0.88","90.15",14526,"1,309,518.90","440,955,892,461.84","145.85","73.20"
"BHARTIARTL","593.20","572.00","-21.20","-3.57","572.00",726462,"415,536,264.00","1,326,857,015,424.26","612.00","321.15"
